vertices,percentage,edges,tarjan,nuutila,pearce,components,correct
200,0.218593,7867,2.781962,2.869217,2.70464,1,1
200,0.221106,7946,2.876053,2.792282,2.796111,1,1
200,0.223618,8024,2.829498,2.853793,2.880382,1,1
200,0.226131,8102,2.895621,2.914022,2.802597,1,1
200,0.228643,8179,2.97667,2.861544,2.951968,1,1
200,0.231156,8260,2.933231,2.960024,2.847384,1,1
200,0.233668,8346,3.011536,2.957415,2.999173,1,1
200,0.236181,8418,3.134694,3.014122,3.074791,1,1
200,0.238693,8504,3.072087,3.044335,2.991664,1,1
200,0.241206,8589,3.084416,3.043458,3.02499,1,1
200,0.243719,8665,3.216096,3.089028,3.101036,1,1
200,0.246231,8745,3.204621,3.091924,3.187886,1,1
200,0.248744,8825,3.15075,3.145015,3.112484,1,1
200,0.251256,8897,3.161074,3.151583,3.16356,1,1
200,0.253769,8974,3.225408,3.216267,3.228277,1,1
200,0.256281,9054,3.273536,3.256351,3.239297,1,1
200,0.258794,9131,3.220361,3.256448,3.174702,1,1
200,0.261307,9214,3.281793,3.242417,3.26214,1,1
200,0.263819,9289,3.250963,3.30319,3.330687,1,1
200,0.266332,9367,3.318474,3.346207,3.283873,1,1
200,0.268844,9446,3.362222,3.411045,3.303977,1,1
200,0.271357,9511,3.359568,3.297673,3.333017,1,1
200,0.273869,9596,3.37436,3.348098,3.36632,1,1
200,0.276382,9676,3.473669,3.433442,3.43534,1,1
200,0.278894,9749,3.433715,3.417193,3.417505,1,1
200,0.281407,9829,3.461706,3.429412,3.427482,1,1
200,0.28392,9897,3.50756,3.424923,3.46899,1,1
200,0.286432,9975,3.535666,3.411059,3.437973,1,1
200,0.288945,10048,3.515259,3.486698,3.481473,1,1
200,0.291457,10128,3.56098,3.497659,3.459138,1,1
200,0.29397,10201,3.570087,3.552264,3.521805,1,1
200,0.296482,10284,3.632674,3.600773,3.574291,1,1
200,0.298995,10354,3.68781,3.648416,3.553298,1,1
200,0.301508,10429,3.643737,3.616934,3.627145,1,1
200,0.30402,10501,3.676814,3.621373,3.639528,1,1
200,0.306533,10578,3.747817,3.671403,3.625617,1,1
200,0.309045,10653,3.753838,3.681303,3.6735,1,1
200,0.311558,10723,3.740223,3.676753,3.758976,1,1
200,0.31407,10805,3.792322,3.746955,3.750078,1,1
200,0.316583,10891,3.819503,3.748714,3.720606,1,1
200,0.319095,10965,3.880312,3.76004,3.750043,1,1
200,0.321608,11033,3.837538,3.796688,3.768517,1,1
200,0.324121,11109,3.858848,3.845257,3.80726,1,1
200,0.326633,11182,3.896736,3.838616,3.808677,1,1
200,0.329146,11251,3.88674,3.857765,3.848509,1,1
200,0.331658,11325,3.930351,3.886369,3.859756,1,1
200,0.334171,11399,3.976199,3.908015,3.909836,1,1
200,0.336683,11473,4.013042,3.947333,4.036624,1,1
200,0.339196,11547,4.018854,3.966822,3.936423,1,1
200,0.341709,11614,4.063645,3.973775,4.006093,1,1
200,0.344221,11687,4.086876,4.011644,4.057056,1,1
200,0.346734,11762,4.159295,4.114116,4.113257,1,1
200,0.349246,11843,4.147676,4.120826,4.121017,1,1
200,0.351759,11912,4.209065,4.122098,4.173613,1,1
200,0.354271,11984,4.202973,4.163086,4.174787,1,1
200,0.356784,12060,4.248273,4.21743,4.22403,1,1
200,0.359296,12131,4.326802,4.291559,4.202035,1,1
200,0.361809,12202,4.350884,4.249432,4.200939,1,1
200,0.364322,12270,4.34573,4.287612,4.333485,1,1
200,0.366834,12337,4.425323,4.431274,4.396546,1,1
200,0.369347,12404,4.47446,4.39579,4.381124,1,1
200,0.371859,12477,4.429091,4.423274,4.458544,1,1
200,0.374372,12552,4.475079,4.373824,4.4164,1,1
200,0.376884,12613,4.489925,4.444519,4.360644,1,1
200,0.379397,12688,4.565578,4.535633,4.5069,1,1
200,0.38191,12758,4.535153,4.513043,4.492617,1,1
200,0.384422,12825,4.573245,4.525021,4.538512,1,1
200,0.386935,12889,4.617325,4.49438,4.45731,1,1
200,0.389447,12960,4.5657,4.524957,4.511501,1,1
200,0.39196,13027,4.631125,4.51314,4.541634,1,1
200,0.394472,13097,4.550489,4.658528,4.645594,1,1
200,0.396985,13161,4.726816,4.564604,4.635598,1,1
200,0.399497,13225,4.785707,4.689962,4.600615,1,1
200,0.40201,13284,4.768064,4.598585,4.659554,1,1
200,0.404523,13349,4.786803,4.672112,4.724167,1,1
200,0.407035,13413,4.750164,4.738634,4.803453,1,1
200,0.409548,13474,4.802408,4.836151,4.722756,1,1
200,0.41206,13541,4.876422,4.692598,4.807832,1,1
200,0.414573,13602,4.888812,4.85233,4.794335,1,1
200,0.417085,13674,4.92791,4.799431,4.763761,1,1
200,0.419598,13742,4.936211,4.816559,4.861399,1,1
200,0.422111,13807,4.999094,4.837493,4.879652,1,1
200,0.424623,13865,4.959171,4.903513,4.96983,1,1
