vertices,percentage,edges,tarjan,nuutila,pearce,components,correct
100,0.116162,1097,2.4e-05,1.4e-05,1e-05,1,1
100,0.117172,1106,2.2e-05,1.2e-05,8e-06,1,1
100,0.118182,1114,2.3e-05,1.2e-05,9e-06,1,1
100,0.119192,1123,2.3e-05,1.2e-05,8e-06,1,1
100,0.120202,1132,2.4e-05,1.2e-05,9e-06,1,1
100,0.121212,1141,2.6e-05,1.3e-05,9e-06,1,1
100,0.122222,1151,2.5e-05,1.3e-05,8e-06,1,1
100,0.123232,1161,2.3e-05,1.3e-05,9e-06,1,1
100,0.124242,1171,2.8e-05,1.5e-05,1e-05,1,1
100,0.125253,1180,2.8e-05,1.3e-05,1e-05,1,1
100,0.126263,1189,3e-05,2.1e-05,1.3e-05,1,1
100,0.127273,1197,2.3e-05,1.2e-05,9e-06,1,1
100,0.128283,1207,2.4e-05,1.2e-05,8e-06,1,1
100,0.129293,1216,2.2e-05,1.2e-05,9e-06,1,1
100,0.130303,1225,2.7e-05,1.3e-05,9e-06,1,1
100,0.131313,1235,1.6e-05,1.1e-05,8e-06,1,1
100,0.132323,1244,1.9e-05,1.4e-05,9e-06,1,1
100,0.133333,1254,1.4e-05,1.1e-05,8e-06,1,1
100,0.134343,1260,1.8e-05,1.1e-05,8e-06,1,1
100,0.135354,1269,1.8e-05,1.2e-05,8e-06,1,1
100,0.136364,1277,1.9e-05,1.1e-05,8e-06,1,1
100,0.137374,1286,1.4e-05,1.1e-05,8e-06,1,1
100,0.138384,1295,1.9e-05,1.1e-05,9e-06,1,1
100,0.139394,1304,1.4e-05,1.1e-05,8e-06,1,1
100,0.140404,1315,1.7e-05,1.1e-05,8e-06,1,1
100,0.141414,1323,2.1e-05,1.3e-05,1e-05,1,1
100,0.142424,1330,1.6e-05,1.2e-05,9e-06,1,1
100,0.143434,1340,1.4e-05,1.1e-05,8e-06,1,1
100,0.144444,1349,1.9e-05,1.1e-05,9e-06,1,1
100,0.145455,1358,1.7e-05,1.1e-05,9e-06,1,1
100,0.146465,1366,3.5e-05,1.5e-05,9e-06,1,1
100,0.147475,1376,1.5e-05,1.1e-05,8e-06,1,1
100,0.148485,1385,1.8e-05,1.4e-05,1e-05,1,1
100,0.149495,1392,1.7e-05,1.1e-05,8e-06,1,1
100,0.150505,1402,1.9e-05,1.1e-05,8e-06,1,1
100,0.151515,1409,2.2e-05,1.3e-05,9e-06,1,1
100,0.152525,1418,2e-05,1.3e-05,1e-05,1,1
100,0.153535,1427,2e-05,1.4e-05,9e-06,1,1
100,0.154545,1436,1.9e-05,1.3e-05,1e-05,1,1
100,0.155556,1444,1.5e-05,1.1e-05,8e-06,1,1
100,0.156566,1452,1.5e-05,1.2e-05,8e-06,1,1
100,0.157576,1457,2.4e-05,1.4e-05,9e-06,1,1
100,0.158586,1465,2.2e-05,1.3e-05,9e-06,1,1
100,0.159596,1474,2.2e-05,1.4e-05,8e-06,1,1
100,0.160606,1483,1.8e-05,1.2e-05,9e-06,1,1
100,0.161616,1493,1.5e-05,1.2e-05,8e-06,1,1
100,0.162626,1503,1.5e-05,1.2e-05,8e-06,1,1
100,0.163636,1512,1.5e-05,1.2e-05,8e-06,1,1
100,0.164646,1520,1.5e-05,1.2e-05,8e-06,1,1
100,0.165657,1529,1.6e-05,1.2e-05,8e-06,1,1
100,0.166667,1538,1.7e-05,1.2e-05,8e-06,1,1
100,0.167677,1543,1.6e-05,1.2e-05,8e-06,1,1
100,0.168687,1553,1.6e-05,1.2e-05,8e-06,1,1
100,0.169697,1561,1.6e-05,1.3e-05,7e-06,1,1
100,0.170707,1568,1.5e-05,1.3e-05,8e-06,1,1
100,0.171717,1578,1.9e-05,1.4e-05,1e-05,1,1
100,0.172727,1586,1.6e-05,1.2e-05,9e-06,1,1
100,0.173737,1593,1.6e-05,1.2e-05,9e-06,1,1
100,0.174747,1600,2.5e-05,1.5e-05,9e-06,1,1
100,0.175758,1608,1.8e-05,1.2e-05,9e-06,1,1
100,0.176768,1616,1.9e-05,1.4e-05,1e-05,1,1
100,0.177778,1625,2.5e-05,1.6e-05,8e-06,1,1
100,0.178788,1634,1.9e-05,1.2e-05,9e-06,1,1
100,0.179798,1642,2.2e-05,1.5e-05,1e-05,1,1
100,0.180808,1652,4.3e-05,1.6e-05,1.1e-05,1,1
100,0.181818,1661,2.3e-05,1.3e-05,9e-06,1,1
100,0.182828,1667,2.1e-05,1.4e-05,1e-05,1,1
100,0.183838,1673,2.7e-05,1.6e-05,1e-05,1,1
100,0.184848,1681,2.8e-05,1.6e-05,9e-06,1,1
100,0.185859,1691,3.2e-05,3.2e-05,2.5e-05,1,1
100,0.186869,1701,3.1e-05,1.9e-05,1.1e-05,1,1
100,0.187879,1709,3.1e-05,2.2e-05,1.3e-05,1,1
100,0.188889,1718,3.1e-05,1.7e-05,1e-05,1,1
100,0.189899,1728,3e-05,1.7e-05,1e-05,1,1
100,0.190909,1739,2.7e-05,1.5e-05,1e-05,1,1
100,0.191919,1748,2.9e-05,1.5e-05,9e-06,1,1
100,0.192929,1756,2.5e-05,1.5e-05,1e-05,1,1
100,0.193939,1765,2.2e-05,1.3e-05,9e-06,1,1
100,0.194949,1773,1.7e-05,1.4e-05,9e-06,1,1
