Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      268     0.00     0.00  boost::detail::adj_list_gen<boost::adjacency_list<boost::listS, boost::vecS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>, boost::vecS, boost::listS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>::config::stored_vertex::~stored_vertex()
  0.00      0.00     0.00      268     0.00     0.00  boost::detail::adj_list_gen<boost::adjacency_list<boost::listS, boost::vecS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>, boost::vecS, boost::listS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>::config::rand_stored_vertex::~rand_stored_vertex()
  0.00      0.00     0.00      268     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<boost::detail::stored_edge_property<unsigned long, boost::no_property> > >::~new_allocator()
  0.00      0.00     0.00      268     0.00     0.00  std::allocator<std::_List_node<boost::detail::stored_edge_property<unsigned long, boost::no_property> > >::~allocator()
  0.00      0.00     0.00      268     0.00     0.00  std::__cxx11::_List_base<boost::detail::stored_edge_property<unsigned long, boost::no_property>, std::allocator<boost::detail::stored_edge_property<unsigned long, boost::no_property> > >::_List_impl::~_List_impl()
  0.00      0.00     0.00      268     0.00     0.00  std::__cxx11::_List_base<boost::detail::stored_edge_property<unsigned long, boost::no_property>, std::allocator<boost::detail::stored_edge_property<unsigned long, boost::no_property> > >::_M_clear()
  0.00      0.00     0.00      268     0.00     0.00  std::__cxx11::_List_base<boost::detail::stored_edge_property<unsigned long, boost::no_property>, std::allocator<boost::detail::stored_edge_property<unsigned long, boost::no_property> > >::~_List_base()
  0.00      0.00     0.00      268     0.00     0.00  std::__cxx11::list<boost::detail::stored_edge_property<unsigned long, boost::no_property>, std::allocator<boost::detail::stored_edge_property<unsigned long, boost::no_property> > >::~list()
  0.00      0.00     0.00      268     0.00     0.00  void std::_Destroy<boost::detail::adj_list_gen<boost::adjacency_list<boost::listS, boost::vecS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>, boost::vecS, boost::listS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>::config::stored_vertex>(boost::detail::adj_list_gen<boost::adjacency_list<boost::listS, boost::vecS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>, boost::vecS, boost::listS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>::config::stored_vertex*)
  0.00      0.00     0.00      264     0.00     0.00  std::_Head_base<0ul, boost::no_property*, false>::_M_head(std::_Head_base<0ul, boost::no_property*, false>&)
  0.00      0.00     0.00      264     0.00     0.00  std::_Tuple_impl<0ul, boost::no_property*, std::default_delete<boost::no_property> >::_M_head(std::_Tuple_impl<0ul, boost::no_property*, std::default_delete<boost::no_property> >&)
  0.00      0.00     0.00      264     0.00     0.00  std::__uniq_ptr_impl<boost::no_property, std::default_delete<boost::no_property> >::_M_ptr()
